year;MLABIL01_;MLABIL02_;MLABIL04_;MLABIL06_;MLABIL07_;MLABIL10_;MLABIL11_;MLABIL13_;MLABIL14_;MLABIL16_;aver
1991;848.2722168;704.5928345;885.7044678;506.1708679;637.0095825;353.3777466;559.7738647;744.6355591;477.9777222;635.7473145;635.3262177
1992;643.4313965;363.0628357;525.2664795;426.4596863;569.3308716;308.6768799;416.1343079;132.5617065;466.0672607;243.7033844;409.4694809
1993;739.3369751;556.6186523;694.0977173;146.7549438;532.6553345;219.3553009;306.2376099;400.9550476;267.0145264;386.3122253;424.9338333
1994;873.1442871;633.6622925;862.6355591;623.9954834;655.0507202;237.8294525;600.0228882;702.1053467;561.2342529;627.6810913;637.7361374
1995;871.3079224;666.1396484;849.2693481;533.2908325;685.9898682;216.2434845;501.911499;611.2043457;597.5559082;621.5251465;615.4438004
1996;699.012146;568.612854;659.5846558;377.4117737;574.4212646;231.460083;423.6115723;449.7070923;454.6129456;356.4743958;479.4908783
1997;838.968689;729.1848145;916.2920532;613.1833496;651.5482178;194.398407;495.2536316;669.8390503;545.272644;678.4119263;633.2352783
1998;838.1795044;611.6859131;757.3567505;583.0498047;641.9269409;218.0374146;438.4861755;735.2110596;575.088501;544.6259766;594.3648041
1999;688.1763916;631.9804688;665.480957;432.1260376;480.613678;217.035965;426.4742432;538.6105347;456.0409851;598.8286743;513.5367935
2000;673.9821777;597.6586914;618.5697632;396.6340637;579.7244873;203.8454285;271.9585266;699.9388428;304.9000854;596.1217041;494.3333771
2001;731.3617554;575.2941895;707.6851807;541.2987671;628.9974976;181.8024902;376.269104;543.2644653;276.085907;591.5696411;515.3628998
2002;800.5760498;666.1206055;872.7697754;566.9920044;625.5823975;246.5180359;474.3354797;667.0698853;398.5107727;621.1045532;593.9579559
2003;800.7390747;645.2783813;816.0757446;563.434082;696.0338745;203.6593475;448.6870728;702.7550049;356.5222473;402.7530518;563.5937881
2004;715.2417603;784.4654541;890.2723389;776.4656372;635.0661011;226.0434265;476.7955627;759.7261353;480.3642578;783.7745361;652.821521
2005;726.8405762;762.9901733;1027.136353;507.4779358;672.7312012;223.5627594;439.3525085;952.1501465;593.0856323;732.0754395;663.7402725
2006;744.4412231;764.2272339;755.439209;590.8630371;583.5114136;253.9395447;412.7009277;743.7272339;376.1266479;665.4562988;589.043277
2007;707.7745361;713.3253784;885.7322388;535.2231445;709.093689;253.4031067;359.0596924;781.7542114;613.614502;735.5986938;629.4579193
2008;829.6414185;753.0354614;874.9147949;514.5645752;638.005127;276.5249939;548.8706055;712.2236938;466.3336792;703.2693481;631.7383698
2009;761.5227661;648.1455078;877.046875;554.932251;687.973999;240.8100128;408.9089966;644.8583984;625.3536377;682.4914551;613.20439
