year,MRWBIL01_,MRWBIL02_,MRWBIL04_,MRWBIL06_,MRWBIL07_,MRWBIL10_,MRWBIL11_,MRWBIL13_,MRWBIL14_,MRWBIL16_
1968,1185.783447265625,447.0320739746094,432.0242614746094,506.2400817871094,728.4569702148438,363.5875244140625,632.9103393554688,431.7300720214844,431.23089599609375,542.609619140625
1969,1593.929931640625,463.1110534667969,349.5884094238281,538.0799560546875,693.4396362304688,516.7102661132812,530.35595703125,532.3801879882812,429.12567138671875,534.2572021484375
1970,965.8131713867188,320.8847961425781,521.2675170898438,404.35504150390625,615.0592041015625,490.74334716796875,613.007080078125,636.3289184570312,390.60272216796875,462.0137023925781
1971,949.9822998046875,337.4886474609375,292.1192321777344,342.26715087890625,742.4818115234375,286.7406921386719,461.3209228515625,276.07794189453125,565.7997436523438,519.94580078125
1972,617.2186279296875,215.1678924560547,303.87689208984375,168.5243682861328,324.9510498046875,204.93711853027344,586.386474609375,231.58547973632812,314.7038269042969,243.0771484375
1973,470.1484069824219,433.6856384277344,345.9094543457031,317.9482727050781,532.7103271484375,281.0557861328125,711.0257568359375,404.1390686035156,392.853515625,425.4393005371094
1974,830.9574584960938,321.749755859375,454.66552734375,369.7953796386719,475.9425964355469,287.96173095703125,660.888671875,424.9005432128906,376.6194763183594,330.61956787109375
1975,585.3271484375,185.6688232421875,391.7411804199219,240.3709259033203,483.023193359375,265.4087219238281,485.546630859375,307.51666259765625,296.4896240234375,292.82928466796875
1976,758.1882934570312,238.7080078125,437.28521728515625,338.9584045410156,664.180908203125,357.6643371582031,652.5609741210938,476.01055908203125,291.84063720703125,375.6164245605469
1977,637.3497314453125,158.83534240722656,264.4466857910156,309.79022216796875,576.214599609375,371.35662841796875,517.7904052734375,296.58038330078125,322.7532043457031,354.54913330078125
1978,450.9395751953125,102.4724349975586,257.4417419433594,194.1991729736328,439.6746826171875,311.293212890625,590.9260864257812,196.58291625976562,238.009521484375,335.8388366699219
1979,754.8091430664062,216.89402770996094,450.8134460449219,335.7680969238281,573.5214233398438,415.0273132324219,707.9293212890625,354.6139831542969,307.8861083984375,409.0955505371094
1980,839.2032470703125,295.68084716796875,486.95654296875,380.6251220703125,591.5220947265625,408.124755859375,1223.90625,355.90509033203125,341.3857116699219,344.67816162109375
1981,623.8176879882812,175.5535125732422,327.53094482421875,301.4993591308594,484.3051452636719,401.99700927734375,691.5081787109375,298.2621154785156,267.747802734375,295.6816101074219
1982,449.4473876953125,102.3617172241211,118.4259262084961,109.57548522949219,263.9519958496094,325.1562805175781,234.0134735107422,122.79608154296875,163.50611877441406,152.25717163085938
1983,570.2931518554688,186.73597717285156,526.1292724609375,218.9109344482422,359.0518798828125,379.4514465332031,658.8621215820312,314.28302001953125,193.72425842285156,362.57586669921875
1984,570.1604614257812,185.3507537841797,477.1331481933594,258.3689270019531,428.14227294921875,378.0810852050781,552.9446411132812,216.86817932128906,105.10494232177734,299.5023498535156
1985,745.2910766601562,332.28369140625,655.7027587890625,494.25189208984375,581.6698608398438,551.2597045898438,1103.280029296875,312.3445129394531,479.4891052246094,725.2223510742188
1986,599.8779296875,234.41575622558594,386.0411682128906,269.4656982421875,319.6947937011719,604.82470703125,770.2605590820312,260.96636962890625,359.29156494140625,440.8077392578125
1987,471.7151184082031,145.36831665039062,67.00047302246094,162.88677978515625,190.86610412597656,475.8922119140625,375.8556823730469,88.29415130615234,252.9579620361328,220.06326293945312
1988,567.6263427734375,231.0913848876953,418.9915771484375,320.2425842285156,338.3808288574219,453.5401611328125,506.34857177734375,197.45254516601562,362.8208923339844,338.6386413574219
1989,588.4268188476562,230.9506072998047,441.3392333984375,262.8123474121094,399.1028747558594,320.03216552734375,524.8426513671875,220.14260864257812,346.19921875,127.67140197753906
1990,411.3636779785156,126.01649475097656,219.58041381835938,166.5935821533203,319.96551513671875,357.3319091796875,277.7138977050781,109.2027359008789,285.9117431640625,137.51866149902344
1991,581.1295776367188,242.48638916015625,453.90057373046875,267.709716796875,381.4914855957031,380.55242919921875,451.8232421875,232.7980194091797,351.52117919921875,218.30567932128906
